class,num_samples,feature_dim,mean_mean,mean_std,total_variance_trace,max_feature_variance,min_feature_variance
1,177,256,-0.1080135703086853,0.20564252138137817,0.4689994752407074,0.025454115122556686,2.053338357654866e-05
2,200,256,-0.10529282689094543,0.20750688016414642,0.4315066933631897,0.02121083252131939,1.6880476323422045e-05
3,104,256,-0.10554634034633636,0.2084430307149887,0.4576099216938019,0.025654921308159828,2.5628318326198496e-05
4,159,256,-0.10890883207321167,0.21187227964401245,0.3833807706832886,0.02366584539413452,1.3621918697026558e-05
